分组,参数,值,单位,说明,来源
距离效率,距离 4 格 / 运输 Lv8,0.9267,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 6 格 / 运输 Lv0,0.7519,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 6 格 / 运输 Lv2,0.7965,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 6 格 / 运输 Lv5,0.8517,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 6 格 / 运输 Lv8,0.8939,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 8 格 / 运输 Lv0,0.6944,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 8 格 / 运输 Lv2,0.7459,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 8 格 / 运输 Lv5,0.8116,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 8 格 / 运输 Lv8,0.8634,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 10 格 / 运输 Lv0,0.6452,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 10 格 / 运输 Lv2,0.7013,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 10 格 / 运输 Lv5,0.775,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 10 格 / 运输 Lv8,0.8349,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 15 格 / 运输 Lv0,0.5479,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 15 格 / 运输 Lv2,0.6102,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 15 格 / 运输 Lv5,0.6967,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 15 格 / 运输 Lv8,0.7712,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 20 格 / 运输 Lv0,0.4762,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 20 格 / 运输 Lv2,0.54,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 20 格 / 运输 Lv5,0.6327,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 20 格 / 运输 Lv8,0.7165,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 30 格 / 运输 Lv0,0.3774,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 30 格 / 运输 Lv2,0.439,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 30 格 / 运输 Lv5,0.5345,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 30 格 / 运输 Lv8,0.6276,倍,产出乘数（三种资源都乘）,TRANSPORT
壤土递减,作用基质,soil,,只影响普通壤土（用户明确）,TOPSOIL_FALLOFF
壤土递减,作用资源,water,,壤土只产水,TOPSOIL_FALLOFF
壤土递减,base（0 格产出）,0.12,/s/格,保留壤土原本的 0.12，不另设,TOPSOIL_FALLOFF
壤土递减,slope（每格扣水）,0.03,/s/格,用户原式 0.12-0.09=0.03,TOPSOIL_FALLOFF
壤土递减,归零距离,4,格,base/slope=4 格 = 从核心数第 5 格,TOPSOIL_FALLOFF
壤土递减,limit（地板）,-1.17,/s/格,offset 下限；产出下限 = limit - base = -1.05,TOPSOIL_FALLOFF
壤土递减,产出下限,-1.05,水/s/格,用户锚点 -1.05,TOPSOIL_FALLOFF
壤土递减,地板触发距离,39,格,limit/slope=39 格（产出恰好 -1.05）,TOPSOIL_FALLOFF
壤土递减,SOILS.soil.yield.water,0.12,/s/格,保持 0.12 —— 贴核产出不变,SOILS
壤土递减曲线,从核第 1 格（dist 0）,0.12,水/s/格,净产出,TOPSOIL_FALLOFF
壤土递减曲线,从核第 2 格（dist 1）,0.09,水/s/格,净产出,TOPSOIL_FALLOFF
壤土递减曲线,从核第 3 格（dist 2）,0.06,水/s/格,净产出,TOPSOIL_FALLOFF
壤土递减曲线,从核第 4 格（dist 3）,0.03,水/s/格,净产出,TOPSOIL_FALLOFF
壤土递减曲线,从核第 5 格（dist 4）,0,水/s/格,★ 精确归零点,TOPSOIL_FALLOFF
壤土递减曲线,从核第 6 格（dist 5）,-0.03,水/s/格,净消耗,TOPSOIL_FALLOFF
壤土递减曲线,从核第 10 格（dist 9）,-0.15,水/s/格,净消耗,TOPSOIL_FALLOFF
壤土递减曲线,从核第 20 格（dist 19）,-0.45,水/s/格,净消耗,TOPSOIL_FALLOFF
壤土递减曲线,从核第 21 格（dist 20）,-0.48,水/s/格,净消耗,TOPSOIL_FALLOFF
壤土递减曲线,从核第 39 格（dist 38）,-1.02,水/s/格,净消耗,TOPSOIL_FALLOFF
壤土递减曲线,从核第 40 格（dist 39）,-1.05,水/s/格,触地板,TOPSOIL_FALLOFF
壤土递减曲线,从核第 61 格（dist 60）,-1.05,水/s/格,触地板,TOPSOIL_FALLOFF
主干,TRUNK.maxTrunk,5,格,主干硬上限（设计承诺）,TRUNK
主干,TRUNK.maxConfluence,3,格,汇流硬上限,TRUNK
主干,TRUNK.coreCapPerTrunk,0.22,倍/根,每根主干给核心 +22% 吞吐,TRUNK
主干,核心满配吞吐,231,货物/s,110×(1+1.1)=231（派生）,TRUNK
主干,TRUNK.trunkCapMul,2.6,倍,主干沿途吞吐 ×2.6,TRUNK
主干,TRUNK.confluenceCapMul,2.1,倍,汇流吞吐 ×2.1,TRUNK
主干,TRUNK.trunkYieldMul,0.55,倍,主干自身产出 ×0.55,TRUNK
主干,TRUNK.confluenceYieldMul,0.75,倍,汇流自身产出 ×0.75,TRUNK
主干,TRUNK.feederAdjMul,1.35,倍,贴着汇流的支流吞吐 ×1.35,TRUNK
节点强化,NODE_UP.baseCost,26,养分,Lv0→Lv1 成本,NODE_UP
节点强化,NODE_UP.costGrowth,1.72,倍/级,每级成本 ×1.72,NODE_UP
节点强化,NODE_UP.maxLevel,10,级,节点等级上限,NODE_UP
节点强化,NODE_UP.yieldPerLevel,0.25,倍/级,每级产出 +25%,NODE_UP
节点强化,NODE_UP.capPerLevel,0.18,倍/级,每级吞吐 +18%,NODE_UP
节点成本曲线,Lv1,26,养分,累计 26 养分；产出 ×1.25,NODE_UP
节点成本曲线,Lv2,45,养分,累计 71 养分；产出 ×1.5,NODE_UP
节点成本曲线,Lv3,77,养分,累计 148 养分；产出 ×1.75,NODE_UP
节点成本曲线,Lv4,132,养分,累计 280 养分；产出 ×2,NODE_UP
节点成本曲线,Lv5,228,养分,累计 508 养分；产出 ×2.25,NODE_UP
节点成本曲线,Lv6,391,养分,累计 899 养分；产出 ×2.5,NODE_UP
节点成本曲线,Lv7,673,养分,累计 1572 养分；产出 ×2.75,NODE_UP
节点成本曲线,Lv8,1158,养分,累计 2730 养分；产出 ×3,NODE_UP
节点成本曲线,Lv9,1992,养分,累计 4722 养分；产出 ×3.25,NODE_UP
节点成本曲线,Lv10,3426,养分,累计 8148 养分；产出 ×3.5,NODE_UP
全局升级,吸收效率 (absorption),base 25 / growth 1.34,养分,养分产出 +18% / 级｜养分产出 ×(1 + 0.18×级),UPGRADES
升级成本曲线,吸收效率 Lv0,25,养分,,UPGRADES
升级成本曲线,吸收效率 Lv1,34,养分,,UPGRADES
升级成本曲线,吸收效率 Lv3,60,养分,,UPGRADES
升级成本曲线,吸收效率 Lv5,108,养分,,UPGRADES
升级成本曲线,吸收效率 Lv10,467,养分,,UPGRADES
全局升级,水分效率 (hydration),base 22 / growth 1.32,养分,水分产出 +18% / 级｜水分产出 ×(1 + 0.18×级),UPGRADES
升级成本曲线,水分效率 Lv0,22,养分,,UPGRADES
升级成本曲线,水分效率 Lv1,29,养分,,UPGRADES
升级成本曲线,水分效率 Lv3,51,养分,,UPGRADES
升级成本曲线,水分效率 Lv5,88,养分,,UPGRADES
升级成本曲线,水分效率 Lv10,353,养分,,UPGRADES
全局升级,运输效率 (transport),base 40 / growth 1.34,养分,距离损耗 -12% / 级｜距离损耗 = 5.5% × 0.88^级,UPGRADES
升级成本曲线,运输效率 Lv0,40,养分,,UPGRADES
升级成本曲线,运输效率 Lv1,54,养分,,UPGRADES
升级成本曲线,运输效率 Lv3,96,养分,,UPGRADES
升级成本曲线,运输效率 Lv5,173,养分,,UPGRADES
升级成本曲线,运输效率 Lv10,747,养分,,UPGRADES
全局升级,菌丝加粗 (capacity),base 35 / growth 1.34,养分,吞吐上限 +25% / 级｜节点吞吐 ×(1 + 0.25×级),UPGRADES
升级成本曲线,菌丝加粗 Lv0,35,养分,,UPGRADES
升级成本曲线,菌丝加粗 Lv1,47,养分,,UPGRADES
升级成本曲线,菌丝加粗 Lv3,84,养分,,UPGRADES
升级成本曲线,菌丝加粗 Lv5,151,养分,,UPGRADES
升级成本曲线,菌丝加粗 Lv10,653,养分,,UPGRADES
全局升级,生长效率 (growth),base 24 / growth 1.32,养分,生长水耗 -7% / 级｜生长水耗 ×0.93^级,UPGRADES
升级成本曲线,生长效率 Lv0,24,养分,,UPGRADES
升级成本曲线,生长效率 Lv1,32,养分,,UPGRADES
升级成本曲线,生长效率 Lv3,55,养分,,UPGRADES
升级成本曲线,生长效率 Lv5,96,养分,,UPGRADES
升级成本曲线,生长效率 Lv10,385,养分,,UPGRADES
全局升级,共生深度 (symbiosis),base 70 / growth 1.38,养分,孢子产出 +18% / 级｜孢子产出 ×(1 + 0.18×级),UPGRADES
升级成本曲线,共生深度 Lv0,70,养分,,UPGRADES
升级成本曲线,共生深度 Lv1,97,养分,,UPGRADES
升级成本曲线,共生深度 Lv3,184,养分,,UPGRADES
升级成本曲线,共生深度 Lv5,350,养分,,UPGRADES
升级成本曲线,共生深度 Lv10,1753,养分,,UPGRADES
全局升级,蔓延速度 (autoGrow),base 60 / growth 1.34,养分,自动扩张间隔 ×0.86 / 级｜基准 6.0s 起，每级 ×0.86｜上限 12 级,UPGRADES
升级成本曲线,蔓延速度 Lv0,60,养分,,UPGRADES
升级成本曲线,蔓延速度 Lv1,80,养分,,UPGRADES
升级成本曲线,蔓延速度 Lv3,144,养分,,UPGRADES
升级成本曲线,蔓延速度 Lv5,259,养分,,UPGRADES
升级成本曲线,蔓延速度 Lv10,1120,养分,,UPGRADES
全局升级,感知范围 (sight),base 45 / growth 1.36,养分,可见半径 +1 格 / 级｜可见半径 +1 格 / 级｜上限 8 级,UPGRADES
升级成本曲线,感知范围 Lv0,45,养分,,UPGRADES
升级成本曲线,感知范围 Lv1,61,养分,,UPGRADES
升级成本曲线,感知范围 Lv3,113,养分,,UPGRADES
升级成本曲线,感知范围 Lv5,209,养分,,UPGRADES
树木,TREE.stageAt,"[0,60,180]",秒,成长点门槛：幼苗0 / 成年60 / 古树180（按连接时长每秒+1）,TREE
树木,TREE.yieldMul,"[0.6,1,1.6]",倍,各档产出倍率：0.6 / 1.0 / 1.6,TREE
树木,TREE.ringRadius,2,格,围拢统计与光环半径,TREE
树木,TREE.crowdSoftCap,16,格,此数以内满速成长（低于实测 p25=17）,TREE
树木,TREE.crowdPenalty,0.5,倍/格,每超 1 格成长率 -0.5,TREE
树木,停滞线,18,格,crowd 18 → rate 0.00（派生）,TREE
树木,TREE.decayPerSec,0.25,点/s,"倒退速率的**下限**（不是上限）：退速 = max(|rate|, 0.25)",TREE
树木,TREE.auraYieldMul,1.25,倍,古树给周围其它菌丝的产出加成,TREE
树木,TREE.auraStack,不叠加,,多棵古树覆盖同一格只取一次,TREE
树的拥挤曲线,crowd = 12,1,倍,成长 ×1,TREE
树的拥挤曲线,crowd = 14,1,倍,成长 ×1,TREE
树的拥挤曲线,crowd = 15,1,倍,成长 ×1,TREE
树的拥挤曲线,crowd = 16,1,倍,成长 ×1,TREE
树的拥挤曲线,crowd = 17,0.5,倍,成长 ×0.5,TREE
树的拥挤曲线,crowd = 18,0,倍,停滞,TREE
树的拥挤曲线,crowd = 19,-0.5,倍,倒退 0.5 点/s,TREE
树的拥挤曲线,crowd = 20,-1,倍,倒退 1 点/s,TREE
自动蔓延规则,距离上限 (maxDist),"[0,4,6,8,10,12,16,20,26,32]",,只往离核 N 格以内蔓延（0 = 不限）,AUTORULE
自动蔓延规则,收益阈值 (minYield),"[0,0.1,0.2,0.3,0.5,0.7,1,1.5]",,原始产出低于 N 的格子不连（0 = 不限）,AUTORULE
扩张策略,就近蔓延 (nearest),优先最便宜的邻格，铺得快,,,POLICIES
扩张策略,择优蔓延 (richest),优先原始产出最高的邻格,,,POLICIES
扩张策略,找水脉 (water),优先水脉，扩张续航强,,,POLICIES
扩张策略,找养分 (nutrient),优先落叶与腐木，升级快,,,POLICIES
扩张策略,找树根 (spore),优先树根，专攻散播,,,POLICIES
主动技能,菌丝脉冲 (pulse),CD 40s,,8 秒内蔓延速度 ×4｜快捷键 1,ABILITIES
主动技能,酶解 (digest),CD 55s,,立刻结算 30 秒的养分产出｜快捷键 2,ABILITIES
主动技能,孢子爆 (sporulate),CD 90s,,立刻获得 孢子 = 菌丝数×1.5｜快捷键 3,ABILITIES
地图事件,EVENTS.firstAt,45,,,EVENTS
地图事件,EVENTS.intervalMin,55,,,EVENTS
地图事件,EVENTS.intervalMax,95,,,EVENTS
地图事件,EVENTS.buffDur,45,,,EVENTS
地图事件,EVENTS.buffMul,3,,,EVENTS
地图事件,EVENTS.buffRadius,3.2,,,EVENTS
地图事件,EVENTS.gnatInterval,15,,,EVENTS
地图事件,EVENTS.gnatMax,3,,,EVENTS
地图事件,EVENTS.gnatReward,45,,,EVENTS
菌瘟,BLIGHT.minNodes,32,,,BLIGHT
菌瘟,BLIGHT.spawnChance,0.45,,,BLIGHT
菌瘟,BLIGHT.maxCount,8,,,BLIGHT
菌瘟,BLIGHT.maxLevel,7,,,BLIGHT
菌瘟,BLIGHT.immuneLevel,7,,【不变量】免疫线，三处共用同一个数字,BLIGHT
菌瘟,BLIGHT.firewallNodes,3,,,BLIGHT
菌瘟,BLIGHT.spreadInterval,21,,,BLIGHT
菌瘟,BLIGHT.spreadChance,0.55,,,BLIGHT
菌瘟,BLIGHT.failLimit,2,,,BLIGHT
维持费,MAINT.costPerLevel,2.040816,水/s,K = 100/49，让 Lv7 恰好 = 100/s,MAINT
维持费,MAINT.exponent,2,,平方曲线（改它必须重标 K）,MAINT
维持费,MAINT.downgradePerSec,3,级/s,水见底（= 0）后每秒降几级,MAINT
维持费曲线,Lv1 单节点,2.04,水/s,,MAINT
维持费曲线,Lv2 单节点,8.16,水/s,,MAINT
维持费曲线,Lv3 单节点,18.37,水/s,,MAINT
维持费曲线,Lv5 单节点,51.02,水/s,,MAINT
维持费曲线,Lv7 单节点,100,水/s,,MAINT
维持费曲线,Lv10 单节点,204.08,水/s,,MAINT
维持费承载力,全 Lv1 可养,271,个,后期水产量 ≈554/s 时的实测可养数量,probe_maint_shape
维持费承载力,全 Lv3 可养,30,个,后期水产量 ≈554/s 时的实测可养数量,probe_maint_shape
维持费承载力,全 Lv7 可养,5,个,后期水产量 ≈554/s 时的实测可养数量,probe_maint_shape
维持费承载力,全 Lv10 可养,2,个,后期水产量 ≈554/s 时的实测可养数量,probe_maint_shape
转生,PRESTIGE.firstCost,700,孢子,首次转生所需孢子,PRESTIGE
转生,PRESTIGE.costGrowth,1.6,倍/次,每次转生成本 ×1.6,PRESTIGE
转生,PRESTIGE.geneDivisorNutrient,1500,养分/基因,每 1500 累计养分换 1 基因点,PRESTIGE
转生,PRESTIGE.geneDivisorSpore,150,孢子/基因,每 150 累计孢子换 1 基因点,PRESTIGE
转生成本曲线,第 1 次转生,700,孢子,,PRESTIGE
转生成本曲线,第 2 次转生,1120,孢子,,PRESTIGE
转生成本曲线,第 3 次转生,1792,孢子,,PRESTIGE
转生成本曲线,第 4 次转生,2867,孢子,,PRESTIGE
转生成本曲线,第 6 次转生,7340,孢子,,PRESTIGE
转生成本曲线,第 9 次转生,30065,孢子,,PRESTIGE
转生成本曲线,第 13 次转生,197032,孢子,,PRESTIGE
基因天赋,丰饶 (gYield),base 1 / growth 1.6,基因点,所有产出 +12% / 级,GENES
基因天赋,蓄水 (gWater),base 1 / growth 1.6,基因点,初始水 +150 / 级,GENES
基因天赋,速生 (gGrowth),base 2 / growth 1.6,基因点,生长水耗 -6% / 级,GENES
基因天赋,渗透 (gRate),base 2 / growth 1.7,基因点,核心渗水 +0.4/s / 级,GENES
里程碑,m1 扎根,网络达到 12 格,,奖励：解锁「菌丝脉冲」+ 300 水分,MILESTONES
里程碑,m2 寻水,连上地下水脉,,奖励：水分产出 +25%,MILESTONES
里程碑,m3 腐殖,连上腐木,,奖励：解锁「酶解」,MILESTONES
里程碑,m4 共生,连上树根,,奖励：解锁「孢子爆」,MILESTONES
里程碑,m5 主干,任一节点强化到 5 级,,奖励：全部产出 +10%,MILESTONES
里程碑,m6 扩张,网络达到 60 格,,奖励：+2 基因点,MILESTONES
里程碑,m7 抗虫,驱除 5 只害虫,,奖励：害虫繁殖速度减半,MILESTONES
里程碑,m8 循环,完成一次散播,,奖励：+3 基因点,MILESTONES
里程碑,m9 防火墙,同时拥有 3 个 Lv7+ 的菌丝节点（练到免疫线，菌瘟再也啃不动）,,奖励：菌瘟蔓延速度降低,MILESTONES
里程碑,m10 感知,菌丝达到 250 格且连上 4 种特殊基质,,奖励：解锁「自动蔓延」,MILESTONES
里程碑,m11 共生菌株,完成一次散播且菌丝达到 400 格,,奖励：菌株槽位 +1（可同时带 2 种）,MILESTONES
产出乘区,节点等级,×(1 + 0.25×等级),,最多 ×3.5（Lv10）,NODE_UP
产出乘区,吸收/水分/共生升级,×(1 + 0.18×等级),,各自独立乘,UPGRADES
产出乘区,丰饶基因,×(1 + 0.12×等级),,,GENES
产出乘区,树档位,×0.6 / 1.0 / 1.6,,仅对树根格,TREE
产出乘区,古树光环,×1.25,,周围 2 格内的其它菌丝，不叠加,TREE
产出乘区,事件增益区,×3,,降雨带乘水、孢子季乘孢子,EVENTS
产出乘区,主干代价,×0.55,,被改造成通道的代价,TRUNK
产出乘区,汇流代价,×0.75,,,TRUNK
产出乘区,距离效率,×1/(1+dist×0.055×0.88^级),,三种资源都乘,TRANSPORT
产出乘区,理论叠乘上限（不含事件）,26.95,倍,Lv10 节点 × 升级 Lv10 × 丰饶 Lv10 × 古树光环,派生
